категория;Поисковые слова;Категория поисковых слов;Наименование поставщика социальных услуг;Адрес места нахождения поставщика социальных услуг;Описание;Контактная информация поставщика социальных услуг (телефоны, адрес электронной почты...);Сайт;Иконка;pos;Пресет;Район
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Кировского района Санкт-Петербурга»;198097, г Санкт-Петербург, пер. Огородный, д. 30,  Литер А;* Пример описания;746-59-43;http://тцсо.рф;<i class="fas fa-hand-holding-medical"></i>;30.275094 59.885751;islands#blueIcon;Кировский район
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Красногвардейского района»;195213, г Санкт-Петербург, пр-кт. Новочеркасский, д. 48,  Литер А;* Пример описания;444-14-30;http://csonkr.ru;<i class="fas fa-hand-holding-medical"></i>;30.419237 59.923739;islands#blueIcon;территория Малая Охта
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Калининского района Санкт-Петербурга»;195009, г Санкт-Петербург, ул. Комиссара Смирнова, д. 5/7;* Пример описания;542-05-79;http://kcson.kalin.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.352483 59.962859;islands#blueIcon;Калининский район
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Невского района»;192174, г Санкт-Петербург, ул. Седова, д. 122,  Литер А;* Пример описания;576-10-40;http://kcsonnev.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.444534 59.868076;islands#blueIcon;Невский район
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Пушкинского района»;196607, г Санкт-Петербург, г. Пушкин, ул. Новая, д. 28,  Литер А;* Пример описания;476-66-82;http://kcsonpushkin.pushkin.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.412698 59.726374;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Красносельского района»;198332, г Санкт-Петербург, пр-кт. Маршала Жукова, д. 37, корп. 3,  Литер А;* Пример описания;242-38-20;http://kcson.ucoz.org;<i class="fas fa-hand-holding-medical"></i>;30.220638 59.854847;islands#blueIcon;Красносельский район
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Приморского района Санкт-Петербурга»;197183, г Санкт-Петербург, наб. Чёрной речки, д. 18;* Пример описания;409-74-70;http://kcsonprim.ru;<i class="fas fa-hand-holding-medical"></i>;30.293347 59.989391;islands#blueIcon;территория Новая Деревня
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Фрунзенского района Санкт-Петербурга»;192007, г Санкт-Петербург, ул. Расстанная, д. 20,  Литер А;* Пример описания;490-49-85;http://kcson-fr.frunz.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.352322 59.906634;islands#blueIcon;Фрунзенский район
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Кронштадтского района Санкт-Петербурга»;197760, г Санкт-Петербург, г. Кронштадт, пр-кт. Ленина, д. 15,  Литер А;* Пример описания;311-00-58;http://gu200.site.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;29.765919 59.99701;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Петроградского района Санкт-Петербурга»;197101, г Санкт-Петербург, ул. Большая Монетная, д. 17-19,  Литер Д;* Пример описания;498-09-60;http://gu129.site.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.318114 59.961179;islands#blueIcon;Петроградский район
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр Василеостровского района»;199178, г Санкт-Петербург, линия. 17-я В.О., д. 18, корп. 3,  Литер А;* Пример описания;576-27-35;http://gu87.site.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.266398 59.937107;islands#blueIcon;Василеостровский район
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Колпинского района Санкт-Петербурга»;196653, г Санкт-Петербург, г. Колпино, ул. Стахановская, д. 17;* Пример описания;242-32-65;http://kcson-kolp.ru;<i class="fas fa-hand-holding-medical"></i>;30.590546 59.745186;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Центрального района Санкт-Петербурга»;191144, г Санкт-Петербург, ул. Мытнинская, д. 13,  Литер А;* Пример описания;274-37-56;http://kcson-crspb.ru;<i class="fas fa-hand-holding-medical"></i>;30.378265 59.933929;islands#blueIcon;территория Пески
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное стационарное учреждение социального обслуживания «Дом-интернат для престарелых и инвалидов №1»;197341, г Санкт-Петербург, ул. Поклонногорская, д. 52;* Пример описания;417-56-22;http://dipi1.ksp.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.30207 60.020548;islands#blueIcon;территория Коломяги
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Санкт-Петербургское государственное бюджетное стационарное учреждение социального обслуживания «Дом-интернат ветеранов войны и труда «Красная Звезда»;197729, г Санкт-Петербург, п. Смолячково, ш. Приморское, д. 676;* Пример описания;433-24-60;http://redstar.spb.ru;<i class="fas fa-hand-holding-medical"></i>;29.500907 60.181504;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Уход с предоставлением временного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги, организация помощи в социальной реабилитации);Общие;Федеральное государственное бюджетное учреждение здравоохранения «Санкт-Петербургский Дом-пансионат ветеранов науки Российской академии наук»;196602, г Санкт-Петербург, г. Пушкин, ш. Павловское, д. 93;* Пример описания;465-24-00;http://pansionat-ran.ru;<i class="fas fa-hand-holding-medical"></i>;30.426433 59.695458;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Межрегиональная общественная организация «Ассоциация ветеранов, инвалидов и пенсионеров»;190005, г Санкт-Петербург, ул. 3-я Красноармейская, д. 10,  Литер А;* Пример описания;317-85-53;http://avip-spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.313452 59.91443;islands#blueIcon;Адмиралтейский район
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Московская Местная Организация Санкт-Петербургская Городская Организация Общероссийская Общественная Организация «Всероссийское Общество Инвалидов»;196158, г Санкт-Петербург, ш. Московское, д. 16, корп. 1;* Пример описания;373-97-88;http://pobedanw.ru;<i class="fas fa-hand-holding-medical"></i>;30.338101 59.834827;islands#blueIcon;Московский район
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Адмиралтейского района Санкт-Петербурга»;190103, г Санкт-Петербург, наб. Реки Фонтанки, д. 152а;* Пример описания;575-44-90;http://kcson.admiral.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.28449 59.914958;islands#blueIcon;Адмиралтейский район
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Петродворцового района Санкт-Петербурга»;198510, г Санкт-Петербург, г. Петергоф, ул. Юты Бондаровской, д. 23,  Литер А;* Пример описания;417-45-53;http://kcsonp.ru;<i class="fas fa-hand-holding-medical"></i>;29.928865 59.862199;islands#blueIcon;Петродворцовый район
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Московского района»;196135, г Санкт-Петербург, ул. Ленсовета, д. 4,  Литер А;* Пример описания;241-34-92;http://kcson-mosk.ru;<i class="fas fa-hand-holding-medical"></i>;30.329909 59.860066;islands#blueIcon;Московский район
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Кировского района Санкт-Петербурга»;198097, г Санкт-Петербург, пер. Огородный, д. 30,  Литер А;* Пример описания;746-59-43;http://тцсо.рф;<i class="fas fa-hand-holding-medical"></i>;30.275094 59.885751;islands#blueIcon;Кировский район
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Красногвардейского района»;195213, г Санкт-Петербург, пр-кт. Новочеркасский, д. 48,  Литер А;* Пример описания;444-14-30;http://csonkr.ru;<i class="fas fa-hand-holding-medical"></i>;30.419237 59.923739;islands#blueIcon;территория Малая Охта
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Калининского района Санкт-Петербурга»;195009, г Санкт-Петербург, ул. Комиссара Смирнова, д. 5/7;* Пример описания;542-05-79;http://kcson.kalin.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.352483 59.962859;islands#blueIcon;Калининский район
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Невского района»;192174, г Санкт-Петербург, ул. Седова, д. 122,  Литер А;* Пример описания;576-10-40;http://kcsonnev.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.444534 59.868076;islands#blueIcon;Невский район
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Выборгского района»;194100, г Санкт-Петербург, пр-кт. Лесной, д. 37,  Литер К;* Пример описания;248-18-66;http://kcsonv.vyb.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.345342 59.980425;islands#blueIcon;Выборгский район
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Пушкинского района»;196607, г Санкт-Петербург, г. Пушкин, ул. Новая, д. 28,  Литер А;* Пример описания;476-66-82;http://kcsonpushkin.pushkin.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.412698 59.726374;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Центрального района Санкт-Петербурга»;191144, г Санкт-Петербург, ул. Мытнинская, д. 13,  Литер А;* Пример описания;274-37-56;http://kcson-crspb.ru;<i class="fas fa-hand-holding-medical"></i>;30.378265 59.933929;islands#blueIcon;территория Пески
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Красносельского района»;198332, г Санкт-Петербург, пр-кт. Маршала Жукова, д. 37, корп. 3,  Литер А;* Пример описания;242-38-20;http://kcson.ucoz.org;<i class="fas fa-hand-holding-medical"></i>;30.220638 59.854847;islands#blueIcon;Красносельский район
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение «Комплексный центр социального обслуживания населения Приморского района Санкт-Петербурга»;197183, г Санкт-Петербург, наб. Чёрной речки, д. 18;* Пример описания;409-74-70;http://kcsonprim.ru;<i class="fas fa-hand-holding-medical"></i>;30.293347 59.989391;islands#blueIcon;территория Новая Деревня
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Фрунзенского района Санкт-Петербурга»;192007, г Санкт-Петербург, ул. Расстанная, д. 20,  Литер А;* Пример описания;490-49-85;http://kcson-fr.frunz.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.352322 59.906634;islands#blueIcon;Фрунзенский район
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Кронштадтского района Санкт-Петербурга»;197760, г Санкт-Петербург, г. Кронштадт, пр-кт. Ленина, д. 15,  Литер А;* Пример описания;311-00-58;http://gu200.site.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;29.765919 59.99701;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Курортного района»;197706, г Санкт-Петербург, г. Сестрорецк, ул. Токарева, д. 15;* Пример описания;434-10-11;http://kcson-kurort.ru;<i class="fas fa-hand-holding-medical"></i>;29.95665 60.090872;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Петроградского района Санкт-Петербурга»;197101, г Санкт-Петербург, ул. Большая Монетная, д. 17-19,  Литер Д;* Пример описания;498-09-60;http://gu129.site.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.318114 59.961179;islands#blueIcon;Петроградский район
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр социального обслуживания населения Колпинского района Санкт-Петербурга»;196653, г Санкт-Петербург, г. Колпино, ул. Стахановская, д. 17;* Пример описания;242-32-65;http://kcson-kolp.ru;<i class="fas fa-hand-holding-medical"></i>;30.590546 59.745186;islands#blueIcon;Некоммерческие организации
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Санкт-Петербургское государственное бюджетное учреждение социального обслуживания населения «Комплексный центр Василеостровского района»;199178, г Санкт-Петербург, линия. 17-я В.О., д. 18, корп. 3,  Литер А;* Пример описания;576-27-35;http://gu87.site.gov.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.266398 59.937107;islands#blueIcon;Василеостровский район
Граждане пожилого возраста;Досуговые, образовательные услуги, медико-социальная реабилитация;Общие;Региональная Санкт-Петербургская общественная организация инвалидов по социальной защите и содействию в трудоустройстве «Верба»;196066, г Санкт-Петербург, ул. Типанова, д. 4,  Литер А;* Пример описания;373-97-88;http://gazeta-verba.ru;<i class="fas fa-hand-holding-medical"></i>;30.326576 59.850676;islands#blueIcon;Московский район
Граждане пожилого возраста;Уход с предоставлением постоянного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги);Общие;Общество с ограниченной ответственностью «Гармония»;195112, г Санкт-Петербург, пр-кт. Новочеркасский, д. 33, корп. 3,  Литер А;* Пример описания;702-04-90;http://garmonia-group.ru;<i class="fas fa-hand-holding-medical"></i>;30.406508 59.931283;islands#blueIcon;жилой комплекс Новый Город
Граждане пожилого возраста;Уход с предоставлением постоянного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги);Общие;Общество с ограниченной ответственностью «Социальный гериатрический центр «Опека Комфорт»;194044, г Санкт-Петербург, пр-кт. Большой Сампсониевский, д. 4-6,  Литер А;* Пример описания;242-50-42, 8-800-555-54-03, +7-963-304-95-72;http://sgc-opeca.ru;<i class="fas fa-hand-holding-medical"></i>;30.343914 59.957354;islands#blueIcon;Выборгский район
Граждане пожилого возраста;Уход с предоставлением постоянного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги);Общие;Межрегиональная общественная организация инвалидов и пенсионеров «Еврейский Благотворительный Центр «Забота - Хэсэд Авраам»;197110, г Санкт-Петербург, ул. Большая Разночинная, д. 25,  Литер А;* Пример описания;448-60-10;http://hesed.spb.ru;<i class="fas fa-hand-holding-medical"></i>;30.286897 59.961489;islands#blueIcon;Петроградский район
Граждане пожилого возраста;Уход с предоставлением постоянного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги);Общие;Общество с ограниченной ответственностью «Агентство ЮСИ»;195112, г Санкт-Петербург, ул. Республиканская, д. 24, корп. 1,  Строение 1;* Пример описания;966-91-77;http://socmeduslugi.ru;<i class="fas fa-hand-holding-medical"></i>;30.413964 59.933988;islands#blueIcon;муниципальный округ Малая Охта
Граждане пожилого возраста;Уход с предоставлением постоянного проживания в пансионате (социально-бытовые, медицинские, психологические, досуговые услуги);Общие;Общество с ограниченной ответственностью «Социальный гериатрический центр «Опека»;196643, г Санкт-Петербург, п. Понтонный, ул. Клубная, д. 5,  Литер А;* Пример описания;8-800-555-54-03;http://sgc-opeca.ru;<i class="fas fa-hand-holding-medical"></i>;30.613929 59.787034;islands#blueIcon;Некоммерческие организации
